year,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
7084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4885,5451,5371,40,40,40,40,40,40,40,40,0,0,0,0,4734,3409,5084,5997,6945,28527,28865,27968,26078,26536,
7332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23907,20693,19489,12745,41156,34938,41599,14795,59346,3914,6832,6476,7462,8149,9260,0,7261,8102,8423,43809,8081,49050,10460,9903,7331,
7431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32501,103000,54542,53046,3739,2225,2569,3033,3937,3320,5934,7522,7423,9848,10449,9230,8574,7157,7802,9904,6818,7955,7333,6635,6799,
7536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54997,58289,41525,35046,16480,94269,1172,1171,1994,2312,2851,2505,2726,4862,6090,6575,3367,20325,25700,24394,26375,29394,24409,22351,21670,
8063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10898,9118,0,0,0,0,0,0,1906,2490,13868,4096,3813,4918,3988,4587,4663,7042,7301,20247,18674,17640,
8146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4168,8276,4909,4538,6531,8812,1658,588,0,2707,2345,2578,3107,3094,2623,2225,2556,2260,1751,2371,2872,2292,2688,3274,
8411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5621,32439,24940,6650,0,0,0,0,0,0,3084,0,0,0,0,0,0,0,11553,12161,10174,6522,8778,,,
8670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8559,12076,13366,0,0,0,0,0,0,0,0,0,13199,13745,13648,12260,9457,27464,12301,31171,31820,29189,30995,31089,30230,
8818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23537,64387,27532,45587,2830,2896,3250,4297,12959,6660,11584,8505,8037,11205,11453,9064,0,0,0,0,0,0,0,0,0,
8858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4769,5634,5921,2022,1607,2371,4636,3299,1053,2626,5642,7241,6526,7443,3801,2648,3950,7906,20481,21006,25522,8969,7267,5542,6323,
