CIK,Year,Sentimental Score
2601,1998,0
2601,1998,305
2601,1998,0
2601,1998,0
2601,1997,0
2601,1997,0
2601,1997,0
2601,1996,0
2601,1996,0
2601,1995,0
2601,1995,0
2601,1995,0
2601,1995,0
2601,1995,0
2809
2969,2018,0
2969,2018,0
2969,2018,0
2969,2017,19493
2969,2017,14577
2969,2017,10358
2969,2016,5703
2969,2016,5551
2969,2016,3914
2969,2015,5152
2969,2015,4815
2969,2015,3466
2969,2014,3746
2969,2014,3546
2969,2014,2090
2969,2013,5668
2969,2013,4700
2969,2013,11309
2969,2012,6444
2969,2012,12777
2969,2012,2286
2969,2011,5860
2969,2011,13263
2969,2011,3387
2969,2010,6670
2969,2010,4958
2969,2010,1512
2969,2009,3269
2969,2009,3650
2969,2009,2307
2969,2008,11458
2969,2008,11606
2969,2008,8171
2969,2007,12813
2969,2007,12178
2969,2007,7357
2969,2006,12800
2969,2006,6758
2969,2006,3925
2969,2005,10822
2969,2005,6828
2969,2005,4224
2969,2004,5979
2969,2004,6265
2969,2004,3069
2969,2003,2666
2969,2003,2469
2969,2003,1240
2969,2002,0
2969,2002,0
2969,2002,0
2969,2001,0
2969,2001,0
2969,2001,0
2969,2001,0
2969,2000,0
2969,2000,0
2969,2000,0
2969,2000,0
2969,1999,0
2969,1999,0
2969,1999,0
2969,1998,0
2969,1998,0
2969,1998,0
2969,1997,0
2969,1997,0
2969,1997,0
2969,1996,0
2969,1996,0
2969,1996,0
2969,1995,0
2969,1995,0
2969,1995,0
2969,1994,0
2969,1994,0
2969,1994,0
3116,2018,9746
3116,2018,9226
3116,2017,8989
3116,2017,10091
3116,2017,8762
3116,2016,12221
3116,2016,11880
3116,2016,2302
3116,2016,2410
3116,2016,1661
3116,2016,11426
3116,2014,1907
3116,2014,0
3116,2014,2381
3116,2014,2000
3116,2013,2980
3116,2013,2502
3116,2013,2508
3116,2012,3753
3116,2012,4328
3116,2012,3720
3116,2012,3559
3116,2011,5230
3116,2011,3975
3116,2011,2634
3116,2010,5315
3116,2010,5468
3116,2010,4049
3116,2009,4874
3116,2009,0
3116,2009,5053
3116,2009,4763
3116,2008,2037
3116,2008,1945
3116,2008,1302
3116,2007,2476
3116,2007,2367
3116,2007,2120
3116,2006,1955
3116,2006,1139
3116,2006,873
3116,2005,1368
3116,2005,4188
3116,2005,4104
3116,2005,4482
3116,2004,5752
3116,2004,5001
3116,2004,4804
3116,2003,3259
3116,2003,2419
3116,2003,3286
3116,2003,3087
3116,2003,2397
3116,2003,3214
3116,2003,5727
3116,2003,3915
3116,2003,4295
3116,2002,20
3116,2002,20
3116,2001,20
3116,2001,20
3116,2001,20
3116,2001,20
3116,2000,1364
3116,2000,1293
3116,2000,1282
3116,1999,1477
3116,1999,1329
3116,1999,665
3116,1999,2608
3116,1998,1911
3116,1998,2044
3116,1998,1045
3116,1997,2016
3116,1997,1917
3116,1997,1532
3116,1996,2028
3116,1996,2187
3116,1996,1771
3116,1995,1531
3124
3197,2018,2440
3197,2018,2878
3197,2017,3668
3197,2017,3469
3197,2017,2917
3197,2016,3174
3197,2016,3581
3197,2016,3556
3197,2015,5316
3197,2015,4724
3197,2015,4026
3197,2014,2941
3197,2014,3021
3197,2014,2780
3197,2013,10466
3197,2013,9650
3197,2013,8519
3197,2012,8401
3197,2012,7590
3197,2012,6904
3197,2011,7980
3197,2011,6201
3197,2011,4644
3197,2010,6620
3197,2010,5361
3197,2010,6237
3197,2009,801
3197,2009,499
3197,2009,619
3197,2008,974
3197,2008,734
3197,2008,773
3197,2007,1415
3197,2007,655
3197,2007,784
3197,2006,5071
3197,2006,4604
3197,2006,209
3197,2005,0
3197,2005,0
3197,2005,0
3197,2005,0
3197,2005,0
3197,2005,0
3197,2004,0
3197,2004,0
3197,2004,0
3197,2003,0
3197,2003,0
3197,2003,0
3197,2002,0
3197,2002,1241
3197,2002,814
3197,2001,1045
3197,1999,0
3197,1996,0
3370,2008,2839
3370,2008,2386
3370,2008,3032
3370,2007,2939
3370,2007,2660
3370,2007,2150
3370,2006,4273
3370,2006,3833
3370,2006,2998
3370,2005,14230
3370,2005,14747
3370,2005,10733
3370,2005,11237
3370,2004,15148
3370,2004,15042
3370,2004,9909
3370,2004,0
3370,2003,0
3370,2003,0
3370,2003,0
3370,2002,15097
3370,2002,11847
3370,2002,0
3370,2002,0
3370,2001,0
3370,2001,0
3370,2001,0
3370,2000,0
3370,2000,0
3370,2000,0
3370,1999,2994
3370,1999,3306
3370,1999,2444
3370,1998,285
3370,1998,1937
3370,1998,2141
3370,1998,1305
3370,1997,1980
3370,1997,1891
3370,1997,3611
3370,1996,2970
3370,1996,33057
3370,1996,2948
3370,1995,2876
3370,1995,3400
3370,1995,1908
3370,1994,20385
3370,1994,2293
3370,1994,1806
3370,1994,1786
3499,2018,6672
3499,2018,6851
3499,2018,5650
3499,2017,1333
3499,2017,1493
3499,2017,923
3499,2016,1063
3499,2016,1133
3499,2016,1003
3499,2015,1570
3499,2015,1497
3499,2015,973
3499,2014,995
3499,2014,495
3499,2014,874
3499,2013,1615
3499,2013,1393
3499,2013,1095
3499,2012,2465
3499,2012,1914
3499,2012,1666
3499,2011,1307
3499,2011,922
3499,2011,738
3499,2010,1197
3499,2010,1079
3499,2010,740
3499,2009,2126
3499,2009,0
3499,2009,1267
3499,2008,0
3499,2008,0
3499,2008,0
3499,2007,0
3499,2007,0
3499,2007,0
3499,2006,1163
3499,2006,0
3499,2006,939
3499,2005,580
3499,2005,561
3499,2005,411
3499,2004,689
3499,2004,841
3499,2004,408
3499,2003,729
3499,2003,779
3499,2003,697
3499,2002,1389
3499,2002,1103
3499,2002,836
3499,2001,819
3499,2001,751
3499,2001,758
3499,2000,867
3499,2000,907
3499,2000,807
3499,1999,364
3499,1999,0
3499,1999,0
3499,1998,0
3499,1998,8010
3499,1998,153
3499,1997,-100
3499,1997,4103
3499,1997,-49
3499,1996,1940
3499,1996,466
3499,1996,326
3499,1995,2053
3499,1995,1924
3499,1995,2014
3499,1995,1835
3499,1995,2282
3499,1995,2229
3570,2018,14249
3570,2018,13254
3570,2017,14874
3570,2017,13427
3570,2017,12223
3570,2016,16407
3570,2016,15234
3570,2016,12509
3570,2015,0
3570,2015,12836
3570,2015,0
3570,2015,10390
3570,2015,0
3570,2015,9984
3570,2014,0
3570,2014,0
3570,2014,11803
3570,2014,0
3570,2014,8697
3570,2014,8336
3570,2013,9249
3570,2013,0
3570,2013,9370
3570,2013,0
3570,2013,8196
3570,2012,9023
3570,2012,4487
3570,2012,5614
3570,2011,7275
3570,2011,7301
3570,2011,6507
3570,2010,0
3570,2010,7165
3570,2010,7541
3570,2010,5633
3570,2009,4125
3570,2009,3631
3570,2009,4237
3570,2008,3675
3570,2008,9419
3570,2008,4457
3570,2007,4902
3570,2007,11039
3570,2007,4994
3570,2006,6678
3570,2006,5803
3570,2006,4628
3570,2005,4457
3570,2005,3854
3570,2005,3965
3570,2004,3017
3570,2004,1962
3570,2004,0
3570,2004,1769
3570,2003,5878
3570,2003,6301
3570,2003,2382
3570,2002,1706
3570,2002,1528
3570,2002,1172
3570,2002,3293
3570,2001,3384
3570,2001,3162
3570,2001,1344
3570,2000,6038
3570,2000,4735
3570,2000,2618
3570,1999,12938
3570,1999,6101
3570,1999,2680
3570,1998,2997
3570,1998,1328
3570,1998,2089
3570,1998,7936
3570,1997,3743
3570,1997,3408
3570,1997,2697
3570,1997,2726
