CIK,Year,Sentimental Score
6176,2010,0
6176,2009,0
6176,2008,0
6176,2007,0
6176,2006,0
6176,2005,0
6176,2004,0
6176,2003,0
6176,2002,0
6176,2001,0
6176,2000,0
6176,1999,0
6176,1998,0
6176,1997,0
6176,1996,0
6176,1995,0
6176,1994,0
6201,2018,63709
6201,2017,48563
6201,2016,40892
6201,2015,49597
6201,2014,69508
6201,2013,37862
6201,2012,27344
6201,2011,10059
6201,2010,11478
6201,2009,11144
6201,2008,12616
6201,2007,4486
6201,2006,8160
6201,2005,6571
6201,2004,5292
6201,2003,12412
6201,2002,4185
6201,2001,4886
6201,2000,10407
6201,1999,11687
6201,1998,28096
6201,1997,11607
6201,1996,12540
6201,1995,7013
6201,1994,6206
6207,2018,12704
6207,2017,10438
6207,2016,10841
6207,2015,12827
6207,2014,18406
6207,2013,17513
6207,2012,15068
6207,2011,7591
6207,2010,2804
6207,2009,2708
6207,2008,1582
6207,2007,5421
6207,2006,5357
6207,2005,3825
6207,2004,3459
6207,2003,2434
6207,2002,1412
6207,2001,1520
6207,2000,473
6207,1999,0
6207,1998,0
6207,1997,0
6207,1996,0
6207,1995,2878
6207,1994,0
6260,2004,18994
6260,2003,14789
6260,2002,24854
6260,2001,4729
6260,2000,5278
6260,1999,10877
6260,1998,5290
6260,1997,5148
6260,1996,5479
6260,1995,10685
6260,1994,5186
6281,2018,42728
6281,2017,52864
6281,2016,42230
6281,2015,41324
6281,2014,44695
6281,2013,41091
6281,2012,20489
6281,2011,33861
6281,2010,43833
6281,2009,41593
6281,2008,47320
6281,2007,39807
6281,2006,38918
6281,2005,20097
6281,2004,19112
6281,2003,22774
6281,2002,6238
6281,2001,2894
6281,2000,2179
6281,1999,15842
6281,1998,2171
6281,1997,25012
6281,1996,14186
6281,1995,22257
6281,1994,12096
6284,2018,23981
6284,2017,35872
6284,2016,34859
6284,2015,33517
6284,2014,40475
6284,2013,34295
6284,2012,39847
6284,2011,40469
6284,2010,38077
6284,2009,39558
6284,2008,34504
6284,2007,25297
6284,2006,21189
6284,2005,22132
6284,2004,3531
6284,2003,25694
6284,2002,0
6284,2001,9224
6284,2000,5808
6284,1999,0
6284,1998,0
6284,1997,0
6284,1996,0
6284,1995,0
6284,1994,0
6292,2013,1236
6292,2012,2452
6292,2011,5218
6292,2010,4213
6292,2009,10206
6292,2008,13218
6292,2007,0
6292,2006,0
6292,2005,6802
6292,2004,12844
6292,2003,3122
6292,2002,5496
6292,2001,2451
6292,2000,5233
6292,1999,15774
6292,1998,4023
6292,1997,5668
6292,1996,4832
6292,1995,3088
6314,2014,5570
6314,2013,14064
6314,2012,12932
6314,2011,10259
6314,2010,3629
6314,2009,6839
6314,2008,21515
6314,2007,53269
6314,2006,18955
6314,2005,13753
6314,2004,7133
6314,2003,2476
6314,2002,0
6314,2001,0
6314,2000,5642
6314,1999,7301
6314,1998,14437
6314,1997,6205
6314,1996,3341
6314,1995,3323
6383,2007,2386
6383,2006,16301
6383,2005,9076
6383,2004,6453
6383,2003,3068
6383,2002,2754
6383,2001,76
6383,2000,870
6383,1999,1376
6383,1998,5909
6383,1997,5666
6383,1996,1071
6383,1995,0
6494,2018,1418
6494,2017,3599
6494,2016,2843
6494,2015,3797
6494,2014,3339
6494,2013,2243
6494,2012,2945
6494,2011,3532
6494,2010,5120
6494,2009,0
6494,2008,0
6494,2002,15740
6494,2001,10676
6494,2000,7087
6494,1999,5947
6494,1998,7582
6494,1997,5513
6494,1996,21041
6494,1995,5484
6720,2007,5663
6720,2006,20769
6720,2005,20
6720,2004,0
6720,2003,0
6720,2002,0
6720,2001,0
6720,2000,0
6720,1999,0
6720,1998,0
6720,1997,0
6720,1996,0
6720,1995,0
6720,1994,0
6769,2018,28739
6769,2017,24573
6769,2016,13898
6769,2015,2055
6769,2014,5988
6769,2013,15376
6769,2012,10285
6769,2011,2170
6769,2010,8059
6769,2009,9279
6769,2008,14457
6769,2007,11770
6769,2006,10099
6769,2005,0
6769,2004,0
6769,2003,0
6769,2002,0
6769,2001,0
6769,2000,0
6769,1999,-466
6769,1998,200
6769,1997,0
6769,1996,523
6769,1995,1587
6769,1994,0
6814,2010,4838
6814,2009,4481
6814,2008,0
6814,2007,1680
6814,2006,3304
6814,2005,6599
6814,2004,5688
6814,2003,9516
6814,2002,5862
6814,2001,8650
6814,2000,4777
6814,1999,3152
6814,1998,6746
6814,1997,13934
6814,1996,45007
6814,1995,8355
6885,2018,21769
6885,2017,24776
6885,2016,21923
6885,2015,21355
6885,2014,21576
6885,2013,22414
6885,2012,7646
6885,2011,8199
6885,2010,5758
6885,2009,4522
6885,2008,3638
6885,2007,0
6885,2006,0
6885,2005,7268
6885,2004,12475
6885,2003,8514
6885,2002,9368
6885,2001,4314
6885,2000,603
6885,1999,818
6885,1998,1701
6885,1997,0
6885,1996,0
6885,1995,2623
6951,2018,43134
6951,2017,40040
6951,2016,38247
6951,2015,38273
6951,2014,41027
6951,2013,44692
6951,2012,33031
6951,2011,11931
6951,2010,7463
6951,2009,2989
6951,2008,5427
6951,2007,5938
6951,2006,6440
6951,2005,4957
6951,2004,9096
6951,2003,1526
6951,2002,540
6951,2001,121
6951,2000,674
6951,1999,1130
6951,1998,-51
6951,1997,0
6951,1996,0
6951,1995,1499
6951,1994,0
7039,2018,14225
7039,2017,22410
7039,2016,11973
7039,2015,8395
